,Naam,Gemeente,"NACE BEL 2008,
primaire code","Personeelsbestand (Laatste jaar)
Laatst beschikb. jr","Turnover LY
dz EUR
Laatst beschikb. jr","Totaal der activa
EUR
Laatst beschikb. jr",Ondernemingsnummer,Postcode,Adres,Telefoon,Web adres,E-mail adres
10052.,CORRAL,ANTWERPEN,52100,21,n.b.,"2,734,133",0456 698 368,2030,Blauwe Weg 5,+32 3 541 40 60,www.corral.be,info@corral.be
10053.,ROBA BETONWERKEN,SINT-LENAARTS,43999,21,n.b.,"8,093,216",0456 702 328,2960,Vaartkant Rechts 3A,+32 3 291 77 65,,
10054.,DESMET YANNIC,LEFFINGE,55300,11,n.b.,"8,038,173",0456 720 936,8432,Cleyemeereweg 4,+32 59 31 31 55,,
10055.,THOMAS-DRINK,ZOUTLEEUW,47260,10,n.b.,"5,016,430",0456 760 330,3440,Lewastraat 1,+32 11 78 52 08,,
10056.,CARROSSERIE NIJSMANS,WIJNEGEM,45204,24,n.b.,"7,191,018",0456 766 070,2110,Muggelei 43,+32 3 324 58 17,www.carrosserie-nijsmans-nv.be,geert.vantricht@skynet.be
10057.,STENABO,WUUSTWEZEL,46699,21,n.b.,"2,927,713",0456 769 931,2990,Rerum Novarumlaan 49,+32 3 633 08 80,www.stenabo.be,stenabobvba@skynet.be
10058.,MEYNENDONCKX,OUD-TURNHOUT,46360,44,n.b.,"8,640,360",0456 774 285,2360,Ambachtstraat 6,+32 14 45 05 33,,
10059.,BANK- EN VERZEKERINGSAGENT REGIO GENT,GENT,66191,46,n.b.,"2,182,295",0456 775 473,9000,Zonnestraat 23-25,+32 9 216 67 67,,
10060.,ALMAX EASYLAB,DIKSMUIDE,46699,17,n.b.,"4,755,287",0456 778 740,8600,Wagenmakerijstraat 5,+32 475 694 430,,
10061.,NOMAER,ROESELARE,10820,15,n.b.,"2,042,063",0456 785 767,8800,Ardooisesteenweg 274,+32 51 25 09 25,www.vctrl.com,
10062.,SSE,MEULEBEKE,82110,58,n.b.,"41,257,529",0456 799 031,8760,Nijverheidsstraat 16,+32 51 48 01 80,www.easypay.be,sse-brussel@easypay.be
10063.,DE GROOTE - VAN BRUSSEL,VLISSEGEM,56101,14,n.b.,"4,074,933",0456 846 640,8421,Waterkasteellaan 5,+32 59 23 75 82,,
10064.,DEGRIJSE CONSTRUCTIEBEDRIJF,OOSTNIEUWKERKE,25110,10,n.b.,"2,600,966",0456 854 558,8840,Sleihagestraat 67,+32 51 20 38 94,,
10065.,REDERIJ CREVITS,ZEEBRUGGE,03110,16,n.b.,"2,938,583",0456 860 595,8380,Kotterstraat 44,+32 50 55 15 15,,
10066.,COSY@TABLE,TIELT,46150,14,n.b.,"9,996,575",0456 863 961,8700,Szamotulystraat 6,+32 51 40 27 94,,
10067.,ORAKEL,RETIE,18120,12,n.b.,"2,215,903",0456 887 123,2470,Veldenstraat 14,+32 14 38 80 80,,
10068.,GENERAL TRAILER MAINTENANCE BELGIUM,ANTWERPEN,45201,18,n.b.,"5,763,864",0456 901 672,2030,Treurenborg 11,+32 3 541 55 65,,
10069.,AQUALITY,ZEEBRUGGE,46381,38,n.b.,"4,474,434",0456 902 563,8380,Kattegatstraat 301-307,+32 50 55 99 11,www.aquality.be,contact@aquality-sprl.com
10070.,ROMAPHARM,KOKSIJDE,47730,9,n.b.,"2,435,659",0456 909 689,8670,Koninklijke Baan 102,+32 58 51 77 22,,
10071.,COMPUFIT,OOSTENDE,62010,34,n.b.,"2,993,466",0456 954 231,8400,Slijkensesteenweg 3,+32 59 27 05 70,www.compufit.be,info@compufit.be
10072.,I.B.I.C.,AARTSELAAR,43910,23,n.b.,"3,721,047",0457 013 025,2630,Schelselei 16,+32 3 843 39 66,www.ibic.be,
10073.,SCHEERLINCK SPORT,MERCHTEM,42110,23,n.b.,"3,585,278",0457 022 527,1785,Koeweidestraat 54,+32 2 460 38 37,,info@scheerlinck-sport.be
10074.,HYMATEC,LIER,45193,12,n.b.,"4,489,140",0457 027 673,2500,Industriestraat 6B,+32 3 480 17 00,,info@hymatec.be
10075.,BRN,AALST,46699,10,n.b.,"5,226,895",0457 031 732,9300,Bergemeersenstraat 118,+32 53 60 52 30,,info@brn.be
10076.,FINANCIAL RESOURCES & PROJECTS,DIEGEM,78200,49,n.b.,"3,476,454",0457 037 967,1831,Berkenlaan 1,+32 56 60 70 02,www.financialresources.be,info@financialresources.be
10077.,CULLIGAN BELGIUM,GROOT-BIJGAARDEN,46349,12,n.b.,"2,247,020",0457 040 640,1702,Noordkustlaan 16,,www.kalimba.be,
10078.,PLASTISERVICE D'HONT,SINT-ELOOIS-VIJVE,46769,11,n.b.,"2,744,349",0457 088 645,8793,Gentseweg 624,+32 56 62 75 71,,dhont@plastiservice.com
10079.,VAN DEN HENDE TRANSPORT,WACHTEBEKE,49410,11,n.b.,"2,001,037",0457 101 315,9185,Langelede 111,+32 9 375 63 75,,
10080.,DIAGNOSECENTRUM VOORKEMPEN,ZOERSEL,86901,11,n.b.,"4,025,109",0457 169 413,2980,Kapellei 252,+32 3 383 10 60,www.lapperre.be/,info@lapperre.be
10081.,CAVALIER,EEKLO,10820,16,n.b.,"2,977,856",0457 171 787,9900,Burg. Lionel Pussemierstr 46,+32 9 376 99 99,www.cavalier.be,info@cavalier.be
10082.,A. HARTRODT (BELGIUM) AIRFREIGHT,ANTWERPEN,52290,15,n.b.,"2,489,666",0457 194 652,2000,Suikerrui 5,+32 2 753 08 23,www.hartrodt.be,info@bru.hartrodt.be
10083.,NOPEK,LOKEREN,25110,45,n.b.,"4,414,307",0457 199 008,9160,Heirbrugstraat 135C,+32 9 349 53 87,www.nopek.be,info@nopek.be
10084.,COPPER EN CO,STROMBEEK-BEVER,66220,9,n.b.,"3,640,002",0457 311 844,1853,Sint-Annalaan 209,+32 2 267 92 26,,copper@portima.be
10085.,JACKY KNOOPS,OUDSBERGEN,43120,23,n.b.,"2,854,021",0457 318 475,3660,Nijverheidslaan 1521,+32 89 85 69 61,www.jackyknoops.be,
10086.,WAAK SOCIALE WERKPLAATS VZW,KUURNE,88995,56,n.b.,"3,817,282",0457 351 040,8520,Heirweg 125,,www.waak.be,
10087.,D.K.W.-CARAVANS,WEVELGEM,45194,9,n.b.,"8,535,230",0457 358 067,8560,Roeselarestraat 415,+32 56 40 16 20,,dkw.caravans@pandora.be
10088.,LUYCKX JOSE,ROLLEGEM-KAPELLE,47521,10,n.b.,"3,778,211",0457 370 143,8880,Roeselarestraat 4A,+32 56 50 93 55,,luyckx.jose.bvba@pandora.be
10089.,AXOR,BOCHOLT,41203,23,n.b.,"4,236,494",0457 382 813,3950,Goolderheideweg 9,+32 89 46 10 79,www.axor.be,
10090.,B EN R,BRASSCHAAT,69202,32,n.b.,"4,300,332",0457 385 385,2930,de Caterslei 5,+32 3 605 36 78,www.bnr.be,mail@bnr.be
10091.,CONTROL & PROTECTION AUTOMATION,WILRIJK,71121,27,n.b.,"2,180,598",0457 386 771,2610,Neerlandweg 26,+32 3 880 57 57,www.cp-a.be,
10092.,VERHODEKOR,KOOLSKAMP,43341,16,n.b.,"4,208,260",0457 399 441,8851,Diksmuidse Boterweg 4B,+32 51 74 63 09,,
10093.,GROBELCO BVBA,MAASMECHELEN,42110,16,n.b.,"3,827,626",0457 450 218,3630,Breitwaterstraat 32,+32 89 79 06 35,,
10094.,GEBROEDERS MERCKX,OVERIJSE,45113,9,n.b.,"5,101,012",0457 501 389,3090,Brusselsesteenweg 341,+32 2 687 64 30,www.fiat.be,info@garagemerckx.be
10095.,SPINNEKOP,IEPER,25110,15,n.b.,"5,805,109",0457 522 769,8900,Steverlyncklaan 22,+32 57 20 21 86,,spinnekop.nv@scarlet.be
10096.,MANUMAIL,LEBBEKE,82110,10,n.b.,"4,329,681",0457 549 691,9280,D'Helst 28,+32 52 35 35 41,www.manu-mail.be,info@manu-mail.be
10097.,MERCADINO,ROESELARE,47114,25,n.b.,"2,650,289",0457 574 338,8800,Brugsesteenweg 341,+32 51 25 49 20,,fraeyman.bvba@pandora.be
10098.,DE KLAPROOS,KALLO (BEVEREN),87202,25,n.b.,"2,606,258",0457 606 804,9120,Beverse Dijk 63,+32 3 755 42 02,,
10099.,ERIC PINCKERS,'S GRAVENVOEREN,49410,25,n.b.,"2,528,983",0457 612 643,3798,Vitschen 3,+32 4 240 51 10,,
10100.,BROUWERS ZINK,MAASMECHELEN,24430,10,n.b.,"5,954,832",0457 615 217,3630,Slakweidestraat 16,+32 89 77 72 37,,
10101.,DURAMAPRO,TIELT,22230,10,n.b.,"2,393,272",0457 627 687,8700,Tenhovestraat 14,+32 51 40 42 00,www.duraplast.be,duraplast@skynet.be
10102.,TUINARCHITECTUUR WIM VERREZEN,WESTERLO,81300,9,n.b.,"3,935,082",0457 652 928,2260,Ilsestraat 86,+32 14 23 15 23,www.wim-verrezen.be,
10103.,T.D.M. PRODUCTS BELGIUM,KAPELLEN,47591,23,n.b.,"12,932,131",0457 659 856,2950,Essensteenweg 4,+32 3 808 05 52,,info@plus100-sprinter.com
10104.,ENTREC,MEER,77399,16,n.b.,"3,926,848",0457 662 133,2321,Riyadhstraat 32,+32 3 314 04 00,www.entrec.be,admin@entrec.be
10105.,VLOEREN PEETERS OF PEETERS VLOEREN,HEUSDEN (LIMB.),43331,16,n.b.,"2,103,460",0457 663 519,3550,Obbeekstraat 66,+32 475 811 324,www.vloeren-peeters.be,info@vloeren-peeters.be
10106.,ACURITY,KONTICH,46693,26,n.b.,"3,006,199",0457 669 061,2550,Prins Boudewijnlaan 21 J,+32 3 457 19 86,www.acurity.be,info@acurity.be
10107.,DESTRANS,HARELBEKE,49410,31,n.b.,"2,220,879",0457 669 457,8530,Blokkestraat 12,,www.destrans.be,info@villedecourtrai.be
10108.,KLEEN DAILY,HEPPEN,81220,56,n.b.,"2,500,114",0457 673 615,3971,Kerkestraat 64,+32 11 63 51 32,,
10109.,NIJST NATUURSTEEN,MUNSTERBILZEN,46731,15,n.b.,"6,466,371",0457 678 266,3740,Taunusweg 12,+32 89 41 62 79,,
10110.,LOONBEHEER,ALKEN,70220,14,n.b.,"4,099,587",0457 679 652,3570,Industrieter. Kolmen 1085,+32 11 31 23 41,www.clbvzw.be,
10111.,PETER HEIRMAN,SINT-NIKLAAS,43320,9,n.b.,"2,355,257",0457 734 882,9100,Houten Schoen 65,+32 468 117 689,www.heirman.com,
10112.,BELGO-INTERNATIONAL RESEARCH APPLICATIONS EN DEVELOPMENT,GENK,86220,37,n.b.,"3,188,970",0457 814 858,3600,Grotestraat 42,+32 89 32 95 00,www.spronken.com,
10113.,PUBLIPRINT VAN HOLLEBEKE,TORHOUT,18120,18,n.b.,"2,705,115",0457 831 189,8820,Ringaertstraat 4,+32 50 24 04 05,,info@publiprint.be
10114.,SIVAFROST C.P.L.,SINT-GILLIS-DENDERMONDE,52100,34,n.b.,"21,171,918",0457 834 060,9200,Schaapveld 20,+32 52 25 02 60,sivafrost.be,
10115.,GWL,OUDSBERGEN,43120,16,n.b.,"3,804,344",0457 838 416,3670,Fabriekstraat 13,+32 11 36 71 00,,
10116.,E.G.C.,EDEGEM,93123,10,n.b.,"5,991,485",0457 867 813,2650,Drie Eikenstraat 510,+32 3 288 51 10,,
10117.,JEMAL,SINT-KATELIJNE-WAVER,46610,21,n.b.,"5,754,200",0457 893 448,2860,Dreefvelden 15,+32 15 30 64 00,www.maldoy.com,
10118.,RANOBO,TURNHOUT,46389,23,n.b.,"7,858,584",0457 909 185,2300,Raadsherenstraat 7,+32 14 88 19 99,www.ranobo.be,info@ranobo.be
10119.,DIDESS,GIERLE,10720,31,n.b.,"2,990,938",0457 914 234,2275,Brulens 18,+32 14 55 35 20,www.didess.com,
10120.,B.M.S.,ANTWERPEN,47521,11,n.b.,"3,971,663",0457 915 026,2000,Amsterdamstraat 18E,+32 3 844 19 41,,
10121.,ANTWERP LION OIL WORKS,ANTWERPEN,46699,15,n.b.,"2,971,128",0457 940 562,2000,Vlaamsekaai 2-5,+32 3 237 00 45,www.lionoil.be,info@lionoil.be
10122.,EYE-LITE BELGIUM -VL,DIEGEM,77399,13,n.b.,"8,422,941",0457 943 037,1831,Woluwelaan 141 b.c,+32 2 702 16 75,,info@bl-lighting.be
10123.,MAUQUOY TOKEN COMPANY,WESTERLO,25999,11,n.b.,"7,406,033",0457 971 642,2260,Zone Reme 7,+32 14 50 79 30,www.tokencompany.com,token@tokencompany.com
10124.,NINOOFSE BETONCENTRALE,NINOVE,23630,27,n.b.,"5,952,595",0458 012 323,9400,Nederwijk-Oost 275B,+32 54 34 48 01,www.nbcbeton.be,nbc@diependaele.telenet.be
10125.,TUINCENTRUM VAN HULLE,LIEVEGEM,47761,15,n.b.,"12,968,145",0458 025 783,9920,Grote Baan 249,+32 9 372 91 02,,intratuin@pandora.be
10126.,ATELIER VIERKANT,ZANDVOORDE (OOSTENDE),23410,41,n.b.,"13,899,958",0458 044 688,8400,Solvaylaan 18,+32 50 37 00 56,,
10127.,NIVELLES BETON,IZEGEM,23630,11,n.b.,"7,668,210",0458 101 009,8870,Baronielaan 8,+32 67 21 86 89,,
10128.,VABURAMA,DEINZE,43320,17,n.b.,"2,888,143",0458 118 231,9800,Clemence Dosschestraat 48,+32 9 330 76 07,,vaburama@skynet.be
10129.,CUYPERS,WESPELAAR,47114,21,n.b.,"4,956,036",0458 119 023,3150,Dijkstraat 42,+32 16 52 05 08,,sparwespelaar@skynet.be
10130.,NEWMAN SHIPPING & AGENCY CY,ANTWERPEN,52290,13,n.b.,"10,852,458",0458 125 951,2000,Madrasstraat 70 b.2.01,+32 3 222 15 11,www.newman.be,newman@newman.be
10131.,PLANET EUROPE,VORST (KEMPEN),46425,10,n.b.,"2,368,798",0458 128 822,2430,Kerkstraat 40,+32 13 66 50 97,,
10132.,TRANSPORT MARTENS,TURNHOUT,49410,60,n.b.,"8,703,509",0458 142 183,2300,Grotenhoutlaan 12,+32 14 43 86 21,www.transportmartens.com,info@transportmartens.be
10133.,LACONTE L. & CO,RUMBEKE,43221,20,n.b.,"2,386,505",0458 170 986,8800,Armoedestraat 51,+32 51 20 42 32,,info@laconte.be
10134.,TRANSPORT VAN HEESVELDE,ERTVELDE,49410,36,n.b.,"3,862,281",0458 184 844,9940,Monumentstraat 13,+32 9 341 96 80,www.mervielde.be,cleaning@mervielde.be
10135.,ABINDA,RUDDERVOORDE,46392,16,n.b.,"3,040,479",0458 185 339,8020,De Leiteweg 28,+32 50 28 15 75,www.abinda.be,info@abinda.be
10136.,ELEKTRO SCHOONAERT,AVEKAPELLE,43211,27,n.b.,"2,537,528",0458 187 121,8630,Reygaerdijkstraat 18,+32 58 31 40 69,,
10137.,DEBRATRANS,WINGENE,49410,9,n.b.,"6,875,774",0458 197 514,8750,Tieltsteenweg 8,+32 51 65 03 10,,
10138.,BEEUSAERT - BRAET,WESTKAPELLE,46497,10,n.b.,"17,297,632",0458 204 937,8300,'t Walletje 49,+32 50 61 33 33,www.braet.net,
10139.,VAN DE KERKHOF,MOL,43341,13,n.b.,"3,178,191",0458 240 371,2400,Voortbeemden 7,+32 14 31 10 96,,van.de.kerkhof.bvba@skynet.be
10140.,INVACARE,LOPPEM,46460,14,n.b.,"2,748,353",0458 249 477,8210,Autobaan 22,+32 50 83 10 10,www.invacare.com,belgium@invacare.com
10141.,JTC MICRO ELECTRONICS,RIEMST,46699,37,n.b.,"7,632,419",0458 265 018,3770,Biesenakkers 16,+32 12 23 72 25,www.jtc-micro-electronics.be,
10142.,ST. PAULUS BAKKERIJ,BRUGGE,10712,43,n.b.,"2,484,285",0458 308 568,8000,Monnikenwerve 99-101,+32 50 31 53 85,,info@bakkerij-sint-paulus.be
10143.,TRANSPORT VEDROVA,HERENTALS,52290,16,n.b.,"4,394,508",0458 311 241,2200,Welvaartstraat 1,+32 14 23 06 60,www.vedrova.be,info@vedrova.be
10144.,PORTMADE,ANTWERPEN,52290,32,n.b.,"8,202,757",0458 338 361,2030,Noorderlaan 111 b.20,+32 3 560 16 11,,info@portmade.com
10145.,VAN GILS COATING,WUUSTWEZEL,25610,37,n.b.,"3,225,306",0458 366 273,2990,Bredabaan 55,+32 3 669 74 03,www.deege-coating.nl,info@deege-coating.nl
10146.,ISODAL,WICHELEN,41201,16,n.b.,"5,701,888",0458 374 488,9260,Bohemen 101B,+32 52 42 34 43,,
10147.,OFFITEL,GENK,63990,20,n.b.,"2,003,493",0458 399 630,3600,Mieënbroekstraat 33,+32 800 930 96,www.offitel.be,
10148.,LIMGRO,ZONHOVEN,47788,15,n.b.,"3,944,205",0458 410 023,3520,Heuveneindeweg 121,+32 11 39 73 97,www.seizoenswinkel.be,info@seizoenswinkel.be
10149.,BAYSA,GENT,42220,16,n.b.,"2,097,451",0458 420 812,9050,Brusselsesteenweg 103,+32 9 239 97 61,,
10150.,G & G CONSTRUCT,NINOVE,25120,28,n.b.,"2,454,020",0458 436 351,9400,Brakelsesteenweg 462,+32 54 34 40 04,www.ggconstruct.be,info@ggconstruct.be
10151.,DELTRAN,SINT-ELOOIS-VIJVE,49410,20,n.b.,"2,899,273",0458 454 464,8793,Emiel Clausstraat 23,+32 58 31 49 80,,
10152.,PRE TEC BELGIUM,ZONHOVEN,25620,12,n.b.,"2,042,984",0458 485 346,3520,KMO-zone Molenheide 4062,+32 11 44 11 90,www.pretec.be/,info@pretec.be
10153.,MYKLA,HASSELT,46450,16,n.b.,"4,960,866",0458 547 704,3500,Stadsheide 23 b.10,+32 492 267 866,,
10154.,ALMAPLAST,KONTICH,25610,17,n.b.,"2,294,167",0458 552 751,2550,Singel 6 8,+32 3 450 83 00,www.almaplast.be,info@almaplast.be
10155.,VLAAMSE JONGE ONDERNEMINGEN,HEVERLEE,94999,19,n.b.,"2,642,298",0458 597 885,3001,Kapeldreef 60,+32 16 29 84 01,,
10156.,MICHIELS,WESTMEERBEEK,47410,22,n.b.,"4,321,287",0458 612 139,2235,Stationsstraat 155,+32 16 68 99 40,www.canon.be,info@michiels-office.be
10157.,TWEDDLE LITHO OF EUROPE,SCHELLE,18120,19,n.b.,"2,821,506",0458 622 730,2627,Brandekensweg 9,+32 15 45 18 20,www.tweddle.com,info.europe@tweddle.com
10158.,A.C.I.,IZEGEM,31010,36,n.b.,"5,017,948",0458 634 212,8870,Lodewijk De Raetlaan 16,+32 51 31 08 35,,
10159.,VIANDYBEL,KNOKKE,47221,39,n.b.,"8,062,556",0458 660 243,8300,Lippenslaan 101,+32 50 62 06 25,,
10160.,EUROFINS BELGIUM,NAZARETH,71209,36,n.b.,"7,515,298",0458 696 370,9810,Venecoweg 5,+32 9 222 77 59,www.eurofins.be,info@eurofins.be
10161.,ANY GREEN,DIEGEM,46220,21,n.b.,"2,428,751",0458 698 449,1831,Woluwelaan 143A,+32 2 253 10 69,www.anygreen.com,anygreen@scarlet.be
10162.,DYNASET,GROOT-BIJGAARDEN,43999,11,n.b.,"2,668,412",0458 706 466,1702,Brusselstraat 163,+32 2 378 19 05,www.dynaset.be,info@dynaset.be
10163.,F CARE SYSTEMS,BERCHEM-ANTWERPEN,46900,9,n.b.,"2,139,731",0458 708 347,2600,Uitbreidingstraat 42-46,+32 3 451 51 45,,
10164.,ORPHEUS INSTITUUT,GENT,85520,12,n.b.,"2,803,148",0458 720 126,9000,Korte Meer 12,+32 9 330 40 81,,info@orpheusinstituut.be
10165.,KOEN RENDERS,MALLE,43999,12,n.b.,"5,916,870",0458 728 737,2390,Industrieweg 8,+32 3 312 54 19,,koen.renders@skynet.be
10166.,DOLMANS LANDSCAPING,LANAKEN,81300,35,n.b.,"2,422,050",0458 736 061,3620,Bosstraat 38,+32 11 82 12 48,,
10167.,DIMABEL,IEPER,10720,17,n.b.,"5,450,686",0458 746 949,8900,Jaagpad 8,+32 57 33 85 88,www.dimabel.be,info@dimabel.be
10168.,DE WIT TRANSPORT,ANTWERPEN,50400,9,n.b.,"7,499,115",0458 769 814,2030,Asiadok-Oostkaai 28 D,+32 3 231 36 36,,
10169.,GENERAL TANK CLEANING,ANTWERPEN,81290,21,n.b.,"3,164,463",0458 794 459,2030,Koordekenshoef 83,+32 3 541 87 27,www.acom.be,
10170.,GOOSSENS KEUKENS,PELT,31020,36,n.b.,"4,655,279",0458 795 152,3900,Astridlaan 276 b.A,+32 11 80 55 80,,goossenskeukens@pandora.be
10171.,STADIM,ANTWERPEN,63110,24,n.b.,"2,919,339",0458 797 033,2018,Mechelsesteenweg 180,+32 3 297 08 44,www.stadim.be,stadim@skynet.be
10172.,STANDELEC,KUURNE,43211,9,n.b.,"2,636,990",0458 803 862,8520,Noordlaan 5 b.5,+32 56 20 46 21,www.goudengids.be/standelecnv,info@standelec.com
10173.,CHRISTIAENS - VOLCKE,AVELGEM,01610,13,n.b.,"6,457,876",0458 818 314,8580,Nijverheidslaan 6,+32 56 64 66 66,,christiaens-volcke@skynet.be
10174.,CALLENS REINIGING,WIELSBEKE,38219,15,n.b.,"3,578,817",0458 850 382,8710,Breestraat 8,+32 56 66 69 21,,
10175.,DECRAN,OOIGEM,43320,15,n.b.,"3,941,798",0458 869 584,8710,Guido Gezellestraat 74-78,+32 475 773 793,www.decran.be,info@decran.be
10176.,REMO-FRIT,VERREBROEK,46382,27,n.b.,"3,672,301",0458 878 690,9130,Aven Ackers 15B,+32 3 773 33 88,www.remofrit.be,info@remofrit.be
10177.,DRUKKERIJ LOWYCK,OOSTENDE,18120,21,n.b.,"5,255,573",0458 903 436,8400,Archimedesstraat 53,+32 59 33 33 99,www.lowyck.com,info@lowyck.com
10178.,JANSSENS SMEETS,GROBBENDONK,46751,14,n.b.,"2,871,134",0458 911 354,2280,Industrieweg 6,+32 14 42 65 63,,info@jscfert.be
10179.,FINEKO,GENK,69201,49,n.b.,"3,697,733",0458 916 007,3600,Toekomstlaan 38,+32 89 32 95 40,,fineko@fineko.be
10180.,COUNTRY CHARM CONSTRUCTIONS,ROTSELAAR,41201,10,n.b.,"3,250,598",0458 918 777,3110,Torenstraat 106,+32 16 44 70 61,,
10181.,LUC & WIM VAN DE POEL,BOUWEL,49410,54,n.b.,"7,288,009",0458 932 041,2288,Molenstraat 38,+32 14 73 81 49,,
10182.,VANHOVE CLEANING,TORHOUT,81220,9,n.b.,"3,024,147",0458 941 741,8820,Bruggestraat 73,+32 50 20 19 28,,vanhovecleaning@scarlet.be
10183.,ANDOCOR,HOOGSTRATEN,32500,17,n.b.,"2,733,144",0458 952 035,2320,Kruisblok 9,+32 3 380 15 95,,
10184.,SEKRITO,MOLENSTEDE,82110,11,n.b.,"8,466,925",0458 991 033,3294,Holleweg 5,+32 13 32 77 61,,
10185.,ELEKTRO SINT-TRUIDEN,SINT-TRUIDEN,46693,9,n.b.,"3,380,143",0458 999 941,3800,Hasseltsesteenweg 78 b.1,+32 11 68 35 00,,
10186.,PAC-MAN,JABBEKE,92000,12,n.b.,"8,228,454",0459 000 733,8490,Gistelsteenweg 519,+32 50 65 82 12,,
10187.,J. VAN DER ELST,AALTER,46423,37,n.b.,"6,947,653",0459 017 163,9880,Brugstraat 188,+32 9 374 11 71,,vanderlest@rosies.be
10188.,DEMUNSTER,ZWEVEGEM,52210,10,n.b.,"4,002,763",0459 028 150,8550,Pluim 23,+32 56 25 89 25,www.demunster.be,
10189.,BATO,SCHEPDAAL,43999,12,n.b.,"3,823,007",0459 087 241,1703,Ninoofsesteenweg 1024 P,+32 2 567 24 46,,
10190.,AGENCE SISSAU,MIDDELKERKE,68311,24,n.b.,"5,839,670",0459 089 914,8430,Zeedijk 127-128,+32 59 30 19 91,www.sissau.be,
10191.,POETSPUNT OOSTENDE,OOSTENDE,78100,106,n.b.,"2,806,248",0459 095 060,8400,Graaf de Smet de Naeyerln 4,+32 59 29 59 50,,
10192.,VERVOER- EN KRAANWERKEN DE SAEGHER EN ZOON,NIEUWKERKEN-WAAS,43120,19,n.b.,"4,288,461",0459 108 621,9100,Anthonis De Jonghestraat 27,+32 475 245 791,,
10193.,RUWOMAT,OLSENE,46741,25,n.b.,"9,292,943",0459 109 314,9870,Oudenaardestraat 193 b.A,+32 9 388 31 40,www.ruwomat.be/,ruwomat@skynet.be
10194.,HODEC,OVERIJSE,47521,24,n.b.,"8,267,274",0459 114 559,3090,Schapenweg 2,+32 2 688 26 25,,
10195.,DECEUNINCK HENDRIK,IZEGEM,46694,25,n.b.,"3,983,027",0459 128 516,8870,Blekerijstraat 85,+32 51 30 83 64,www.hendrikdeceuninck.be,
10196.,GLOBALSIGN,LEUVEN,46510,25,n.b.,"4,127,468",0459 134 256,3000,Diestsevest 14,+32 16 89 19 00,www.globalsign.eu,
10197.,ERLIN,GENK,16230,33,n.b.,"2,905,615",0459 136 731,3600,Marcel Habetslaan 38,+32 89 38 11 61,,
10198.,HOBECO,KONINGSHOOIKT,43999,10,n.b.,"2,140,383",0459 144 451,2500,Sander De Vosstraat 143,+32 477 322 688,,
10199.,JADIMEX,BIERBEEK,46900,10,n.b.,"3,774,235",0459 170 086,3360,Tiensesteenweg 225,+32 16 46 19 61,,
10200.,VIBOL,GULLEGEM,20300,18,n.b.,"3,214,446",0459 210 470,8560,Nijverheidslaan 45 47,+32 56 32 15 21,www.vibol.be,info@vibol.be
10201.,SERATEX,HEIST-OP-DEN-BERG,46499,18,n.b.,"2,278,444",0459 229 276,2220,Industriepark A 43,+32 15 25 80 41,www.seratex.be,info@seratex.be
10202.,OOSTENDSE VISROKERIJ D.V.,OOSTENDE,10200,12,n.b.,"2,709,790",0459 229 573,8400,Haringstraat 141,+32 59 33 38 58,,
10203.,BACKX,SINT-LENAARTS,43999,21,n.b.,"5,757,673",0459 230 563,2960,Heihoefke 4 B,+32 3 313 99 34,www.backx.be,info@backx.be
10204.,ADVIESBUREAU INZAKE GRONDWATERTECHNIEKEN,KONTICH,71121,20,n.b.,"3,574,684",0459 259 762,2550,Prins Boudewijnlaan 7 Gate 7 b.D1,+32 3 871 09 60,www.agt.be/,
10205.,CREELLE-CLGTRANS,BEERVELDE,49410,25,n.b.,"4,147,819",0459 264 217,9080,Haanhoutstraat 77,+32 9 355 13 68,,
10206.,MONTECH,BERINGEN,33200,29,n.b.,"7,640,025",0459 265 207,3580,Lochtemanweg 56,+32 11 45 43 70,,montech@scarlet.be
10207.,THE INTERNATIONAL ACADEMY OF OSTEOPATHY,ZWIJNAARDE,85599,10,n.b.,"2,063,330",0459 285 397,9052,Bollebergen 2B b.15,+32 9 235 26 10,,iao.nl@pandora.be
10208.,AEROCOM GMBH EN CO. COMMUNICATIONSSYSTEME,GROOT-BIJGAARDEN,28920,16,n.b.,"3,082,669",0459 323 605,1702,Brusselstraat 320 b.D,+32 2 334 93 93,www.aerocom.de,info@aerocom.be
10209.,ISOFORM,HARELBEKE,43999,29,n.b.,"5,293,271",0459 327 860,8530,Vaarnewijkstraat 12,+32 56 72 05 41,www.isoform.be,
10210.,ON TIME DISTRIBUTION,HEULE,53200,19,n.b.,"8,271,674",0459 369 036,8501,Noordlaan 5 b.4,+32 56 72 76 06,www.ontime.be,info@ontime.be
10211.,ELEKTRO KAMIEL SMET,SINT-NIKLAAS,43211,28,n.b.,"2,728,140",0459 374 479,9100,Eekhoornstraat 3,+32 3 778 18 27,,
10212.,COMFORT CARS,LIER,49310,16,n.b.,"2,969,064",0459 384 872,2500,Marnixdreef 6,+32 3 480 02 77,,
10213.,WEINEBRUGGE,SINT-MICHIELS,55100,17,n.b.,"4,821,529",0459 390 614,8200,Leikendreef 1,+32 50 38 44 40,www.weinebrugge.be/,weine-brugge@scarlet.be
10214.,SCHOLLAERT,GENT,49420,9,n.b.,"3,536,509",0459 417 041,9000,Logboekstraat 2,+32 468 563 539,www.schollaertverhuizingen.be/,info@schollaertverhuizingen.be
