,Naam,Gemeente,"Personeelsbestand (Laatste jaar)
Laatst beschikb. jr","Omzet
EUR
Laatst beschikb. jr","Totaal der activa
EUR
Laatst beschikb. jr",WCM - Naam,Telefoon,E-mail adres,"BvD ID
nummer","Netto toegevoegde waarde
EUR
Laatst beschikb. jr",Ondernemingsnummer,Adres,Postcode,Web adres,"Ibid, omschrijving",Beursnotatie
10124,LOAR,KEERBERGEN,5,n.b.,720052,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 15 33 14 87,,BE0838221936,352569,0838 221 936,Molenstraat 8,3140,,"Algemeen onderhoud en reparatie van auto's en lichte bestelwagens (? 3,5 ton)",Niet beursgenoteerd
10125,OD INVEST,LEUVEN,2,n.b.,601428,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 29 42 84,,BE0838237574,60480,0838 237 574,Bondgenotenlaan 89,3000,,Eetgelegenheden met beperkte bediening,Niet beursgenoteerd
10126,RAYSEARCH BELGIUM,HEVERLEE,5,n.b.,304816,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0838244504,1131441,0838 244 504,Interleuvenlaan 62,3001,,"Overige menselijke gezondheidszorg, n.e.g.",Niet beursgenoteerd
10127,SOCIAAL VERHUURKANTOOR ZUIDKANT,HALLE,5,n.b.,622917,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 358 41 24,,BE0838248858,370100,0838 248 858,Auguste Demaeghtlaan 30,1500,,Verhuur en exploitatie van sociale woningen,Niet beursgenoteerd
10128,ROOFSOLUTIONS,BEGIJNENDIJK,4,n.b.,138250,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 495 354 892,,BE0838260736,239811,0838 260 736,Heidestraat 53,3130,,Schrijnwerk,Niet beursgenoteerd
10129,ZAKENKANTOOR DIERCKX,LANGDORP,1,n.b.,158699,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 56 88 88,,BE0838262122,180232,0838 262 122,Langdorpsesteenweg 222,3201,,Verzekeringsagenten en -makelaars,Niet beursgenoteerd
10130,ALGEMENE BOUWONDERNEMING DE BRABANTER,PAMEL,2,n.b.,146876,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 452 33 27,,BE0838328240,197986,0838 328 240,Kattemkets 36,1760,,Algemene bouw van residentiële gebouwen,Niet beursgenoteerd
10131,ZENJOY,HEVERLEE,4,n.b.,488817,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0838367436,202655,0838 367 436,Naamsesteenweg 187,3001,,Computerconsultancy-activiteiten,Niet beursgenoteerd
10132,TECTALUX,LEUVEN,4,n.b.,538959,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 485 147 413,,BE0838422369,218795,0838 422 369,Tiensevest 70 b.101,3000,,"Overige bouwinstallatie, n.e.g.",Niet beursgenoteerd
10133,V & V - INFRA,WEBBEKOM,23,n.b.,3945907,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 32 61 11,,BE0838428705,1812560,0838 428 705,Industriepark 20,3290,,Verhuur en lease van machines en installaties voor de bouwnijverheid en de weg- en waterbouw,Niet beursgenoteerd
10134,T HOORHOF,TIENEN,2,n.b.,290704,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 76 70 16,,BE0838448796,107257,0838 448 796,Veemarkt 45,3300,,"Overige menselijke gezondheidszorg, n.e.g.",Niet beursgenoteerd
10135,BELGIANARTZONE,SINT-JORIS-WINGE,2,n.b.,161206,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 496 503 974,,BE0838461763,57567,0838 461 763,Gouden Kruispunt 52,3390,,"Overige detailhandel in nieuwe artikelen in gespecialiseerde winkels, n.e.g.",Niet beursgenoteerd
10136,CROSSFIELD,KEERBERGEN,1,n.b.,262077,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 477 914 711,,BE0838462456,122058,0838 462 456,Tremelobaan 123,3140,,Andere vormen van arbeidsbemiddeling,Niet beursgenoteerd
10137,FAKKEL,OVERWINDEN,1,n.b.,353182,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 475 923 149,,BE0838506404,36199,0838 506 404,Pellenstraat 7,3400,,Computerconsultancy-activiteiten,Niet beursgenoteerd
10138,A C GROUP BELGIUM,ASSE,3,n.b.,40402,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0838511847,162242,0838 511 847,Brusselsesteenweg 18,1730,,Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering,Niet beursgenoteerd
10139,STEFFEN ALBERT,KEERBERGEN,1,n.b.,592970,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 41 81 04,,BE0838516203,693,0838 516 203,Tremelobaan 114,3140,,Catering,Niet beursgenoteerd
10140,T-WESS CO,KORTENBERG,1,n.b.,1662815,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0838522636,-12603,0838 522 636,Leuvensesteenweg 149,3070,,"Verhuur en lease van andere consulentenartikelen, n.e.g.",Niet beursgenoteerd
10141,AUBERGE NAPOLEON,MEISE,9,n.b.,551168,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 269 30 78,,BE0838542729,374309,0838 542 729,Bouchoutlaan 1,1860,,Eetgelegenheden met volledige bediening,Niet beursgenoteerd
10142,HANZELEK,MEISE,2,n.b.,91023,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0838543719,69022,0838 543 719,'s Herenweg 23,1860,,"Installatie van verwarming, klimaatregeling en ventilatie",Niet beursgenoteerd
10143,DM SECURITY,OORBEEK,3,n.b.,77116,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 486 309 304,,BE0838643093,132430,0838 643 093,Engelbeekstraat 12,3300,,Diensten in verband met beveiligingssystemen,Niet beursgenoteerd
10144,STILLA,WAMBEEK,1,n.b.,249425,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 581 05 92,,BE0838660119,103164,0838 660 119,Kleemstraat 38,1741,,Loodgieterswerk,Niet beursgenoteerd
10145,TWIPE MOBILE SOLUTIONS,HEVERLEE,22,n.b.,3669914,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 23 53 94,,BE0838686645,2662082,0838 686 645,Gaston Geenslaan 8,3001,,Overige telecommunicatie,Niet beursgenoteerd
10146,DE GEYSELEER WILLY,LIEDEKERKE,1,n.b.,28471,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 497 450 392,,BE0838687338,57501,0838 687 338,Verlorenkoststraat 121,1770,,Schrijnwerk,Niet beursgenoteerd
10147,DB VASTGOED PROJECTS,BIERBEEK,1,n.b.,1133311,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 46 06 66,,BE0838724158,161789,0838 724 158,Katspoelstraat 1,3360,,Handel in eigen onroerend goed,Niet beursgenoteerd
10148,HOUTBOUW DE RUDDER,MERCHTEM,5,n.b.,749466,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 52 85 99 42,,BE0838905290,345204,0838 905 290,Nieuwbaan 136,1785,,Zagen en schaven van hout,Niet beursgenoteerd
10149,PAND 22,HALLE,2,n.b.,43075,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 308 78 11,,BE0839047921,79822,0839 047 921,Ninoofsesteenweg 22,1500,,Haarverzorging,Niet beursgenoteerd
10150,VD & J,KESSEL-LO,7,n.b.,3795557,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 23 83 30,,BE0839149473,576935,0839 149 473,Diestsesteenweg 723,3010,,Activiteiten van deurwaarders,Niet beursgenoteerd
10151,ANN VERREZEN GERECHTSDEURWAARDER,HAMME (BT.),3,n.b.,1197273,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 310 80 90,,BE0839167487,415698,0839 167 487,Lindestraat 16,1785,,Activiteiten van deurwaarders,Niet beursgenoteerd
10152,PAUWELS ORTHOPEDIE,KESSEL-LO,3,n.b.,863166,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 22 25 55,,BE0839276167,146819,0839 276 167,Diestsesteenweg 133,3010,,Detailhandel in medische en orthopedische artikelen in gespecialiseerde winkels,Niet beursgenoteerd
10153,A.I CONSULTING,BUIZINGEN,2,n.b.,138976,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 269 66 20,,BE0839302396,79818,0839 302 396,Louis Descampslaan 19,1501,,Computerconsultancy-activiteiten,Niet beursgenoteerd
10154,MICROWAVE ENERGY APPLICATIONS MANAGEMENT,HERENT,5,n.b.,1613320,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 19 61 05,,BE0839346344,812480,0839 346 344,Dorenstraat 28,3020,,Vervaardiging van machines voor de productie van voedings- en genotmiddelen,Niet beursgenoteerd
10155,ERGRA VISION,ASSE,5,n.b.,798164,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 3 888 14 36,,BE0839394151,351983,0839 394 151,Snassersweg 13,1730,,Groothandel in foto- en filmapparatuur en in andere optische artikelen,Niet beursgenoteerd
10156,QUARUK,AARSCHOT,2,n.b.,1091194,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 55 00 55,,BE0839406128,55582,0839 406 128,Nijverheidslaan 1,3200,,"Houwen, bewerken en afwerken van natuursteen",Niet beursgenoteerd
10157,DEN TIP,HEVERLEE,1,n.b.,101660,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 14 75 42 12,,BE0839443542,54557,0839 443 542,Ambachtenlaan 8,3001,,Computerconsultancy-activiteiten,Niet beursgenoteerd
10158,DE SCHUTTER,VILVOORDE,3,n.b.,308763,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 351 08 28,,BE0839554992,113352,0839 554 992,Schaarbeeklei 286,1800,,Bandenservicebedrijven,Niet beursgenoteerd
10159,LADO,HEVERLEE,5,n.b.,525198,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 22 61 81,,BE0839565979,225404,0839 565 979,Léon Schreursvest 85,3001,,Eetgelegenheden met volledige bediening,Niet beursgenoteerd
10160,GARAGE VDA,EVERBERG,1,n.b.,185423,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 759 51 15,,BE0839567464,74290,0839 567 464,Annonciadenstraat 14,3078,,"Detailhandel in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
10161,OMEGACOM,SINT-PIETERS-LEEUW,4,n.b.,106747,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 499 294 689,,BE0839614380,148521,0839 614 380,Bergensesteenweg 709 b.29,1600,,Draadgebonden telecommunicatie,Niet beursgenoteerd
10162,DAKWERKEN SPELIERS,HERNE,2,n.b.,565229,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 474 429 446,,BE0839651202,226362,0839 651 202,Rankhove 5,1540,,Dakwerkzaamheden,Niet beursgenoteerd
10163,PLAKWERKEN DIRK WOUTERS,HALLE,1,n.b.,314886,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 495 514 729,,BE0839670503,55740,0839 670 503,Dodeweg 37,1500,,Stukadoorswerk,Niet beursgenoteerd
10164,DAK & TIMMERWERKEN LG,ASSE,1,n.b.,299694,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 304 07 45,,BE0839689210,103510,0839 689 210,Pullewouwe 102,1730,,Dakwerkzaamheden,Niet beursgenoteerd
10165,DEKA TEAM,MACHELEN (BT.),14,n.b.,817417,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 310 40 05,,BE0839710786,594036,0839 710 786,Leuvensesteenweg 53,1830,,Handelsbemiddeling in voedings- en genotmiddelen,Niet beursgenoteerd
10166,DEALERDIRECT BELGIE,WILSELE,4,n.b.,71237,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 808 01 32,,BE0839741272,213241,0839 741 272,Kolonel Begaultlaan 1A b.51,3012,,"Handelsbemiddeling in auto's en lichte bestelwagens (< of = 3,5 ton)",Niet beursgenoteerd
10167,MIECO-EFFECT,SCHAFFEN,5,n.b.,443169,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 53 00 74,,BE0839749784,298592,0839 749 784,Vroentestraat 12,3290,,Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering,Niet beursgenoteerd
10168,MFC COMBO,LEUVEN,55,n.b.,2692122,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 29 59 52,,BE0839782745,3412551,0839 782 745,Parkstraat 185,3000,,Rusthuizen voor ouderen (R.O.B.),Niet beursgenoteerd
10169,ALGEMENE CERTIFICATEN VOOR ELEKTRICITEIT & GAS,STROMBEEK-BEVER,75,n.b.,3275603,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 880 88 90,,BE0839866481,4684790,0839 866 481,Ringlaan 39,1853,,Overige technische testen en toetsen,Niet beursgenoteerd
10170,CAYO CONSULTING,VOSSEM,1,n.b.,585342,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 473 603 897,,BE0839903204,-30204,0839 903 204,Morrenweg 32,3080,,Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering,Niet beursgenoteerd
10171,EWL,PAMEL,22,n.b.,2506107,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 471 444 500,,BE0840030292,1272001,0840 030 292,Verloren Hoek 4,1760,,Elektrotechnische installatiewerken aan gebouwen,Niet beursgenoteerd
10172,ENGINEERS IN MANAGEMENT,WILSELE,1,n.b.,564963,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 50 80 80,,BE0840051870,-154288,0840 051 870,Kolonel Begaultlaan 1C,3012,,"Ingenieurs en aanverwante technische adviseurs, exclusief landmeters",Niet beursgenoteerd
10173,MINDCET,HEVERLEE,13,n.b.,3337473,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 40 95 28,,BE0840120364,1194385,0840 120 364,Romeinse Straat 10,3001,,Computerconsultancy-activiteiten,Niet beursgenoteerd
10174,NUVADA,TESTELT,14,n.b.,1315762,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 13 77 23 50,,BE0840137388,726286,0840 137 388,Voort 5,3272,,Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen (verkoopsoppervlakte tussen 400 m² en minder dan 2500 m²),Niet beursgenoteerd
10175,INFIZORGEN,SINT-GENESIUS-RODE,1,n.b.,349343,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 380 03 32,,BE0840176683,234741,0840 176 683,Terheydestraat 101,1640,,Verpleegkundige activiteiten,Niet beursgenoteerd
10176,NESTOR DGL,LUBBEEK,10,n.b.,659952,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 95 88 84,,BE0840188462,217551,0840 188 462,Staatsbaan 261,3210,,Eetgelegenheden met volledige bediening,Niet beursgenoteerd
10177,DNIX,KRAAINEM,134,n.b.,738920,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 475 208 622,,BE0840190046,3146386,0840 190 046,Potaardestraat 2,1950,,"Activiteiten van gezins- en bejaardenzorg aan huis, m.u.v. (thuis)verpleging",Niet beursgenoteerd
10178,HET BROUWERSHOF,WESPELAAR,12,n.b.,144332,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 60 71 26,,BE0840191927,482006,0840 191 927,Provinciesteenweg 10,3150,,Cafés en bars,Niet beursgenoteerd
10179,SCHERPE ZAVEL,KAMPENHOUT,9,n.b.,1040487,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 76 61 40,,BE0840357025,287647,0840 357 025,Vekestraat 41,1910,,"Groothandel in dranken, algemeen assortiment",Niet beursgenoteerd
10180,MEDICOR INTERNATIONAL,ROTSELAAR,5,n.b.,779820,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 27 18 18,,BE0840369495,1178873,0840 369 495,Wingepark 5B b.101,3110,,Diverse administratieve activiteiten ten behoeve van kantoren,Niet beursgenoteerd
10181,MARIKO,LOT,1,n.b.,1480696,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0840413839,47576,0840 413 839,Frans Walravensstraat 141,1651,,Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering,Niet beursgenoteerd
10182,PATRISO HOLDING,DIEST,3,n.b.,31283240,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0840433734,394210,0840 433 734,Industrieterrein I 25 D,3290,,Holdings,Niet beursgenoteerd
10183,GOOSSENS PETER SANITAIR & CV,STEENHUFFEL,1,n.b.,1319243,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 52 55 43 07,,BE0840500347,312716,0840 500 347,Over de Beek 44,1840,,Loodgieterswerk,Niet beursgenoteerd
10184,LIVING TOMORROW,VILVOORDE,16,n.b.,3932094,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 263 01 33,,BE0840501634,649627,0840 501 634,Indringingsweg 1A,1800,,Eetgelegenheden met volledige bediening,Niet beursgenoteerd
10185,BRANETH,STEENOKKERZEEL,3,n.b.,462758,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 751 94 09,,BE0840522816,184364,0840 522 816,Tervuursesteenweg 275,1820,,Ambachtelijke vervaardiging van brood en van vers banketbakkerswerk,Niet beursgenoteerd
10186,ALL DENTE,KEERBERGEN,2,n.b.,366068,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 15 52 99 53,,BE0840527368,125933,0840 527 368,Domien Liekenslaan 21 A,3140,,Tandartspraktijken,Niet beursgenoteerd
10187,DOLLPANI,GROOT-BIJGAARDEN,7,n.b.,206941,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 468 55 40,,BE0840618034,222969,0840 618 034,Brusselstraat 210,1702,,Overige eetgelegenheden,Niet beursgenoteerd
10188,BATTERY SHOP VERBEECK-DE SMET,HERENT,1,n.b.,443103,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 22 77 25,,BE0840718794,105505,0840 718 794,Karrestraat 255,3020,,Handelsbemiddeling gespecialiseerd in andere goederen,Niet beursgenoteerd
10189,DR.WIM RAEYMAEKERS,HALLE,1,n.b.,1660030,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0840725823,485072,0840 725 823,L.A. Sluysstraat 9,1500,,Praktijken van specialisten,Niet beursgenoteerd
10190,W&A RETAIL,HALLE,27,n.b.,1557525,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 380 84 45,,BE0840729781,1531506,0840 729 781,Sint-Rochusstraat 140,1500,,Detailhandel in zuivelproducten en eieren in gespecialiseerde winkels,Niet beursgenoteerd
10191,ADVOCATENKANTOOR BOLLEN & VANDENDRIES,AARSCHOT,1,n.b.,430736,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 41 55 24,,BE0840736018,157357,0840 736 018,Stwg op St-Joris-Winge 21,3200,,Activiteiten van advocaten,Niet beursgenoteerd
10192,D&G COMPANY,KEERBERGEN,4,n.b.,68125,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 15 23 49 62,,BE0840833018,137420,0840 833 018,Vlieghavenlaan 50,3140,,Eetgelegenheden met volledige bediening,Niet beursgenoteerd
10193,QAELUM,HEVERLEE,20,n.b.,4100128,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 53 45 26,,BE0840884387,2699976,0840 884 387,Gaston Geenslaan 9,3001,,Ontwerpen en programmeren van computerprogramma's,Niet beursgenoteerd
10194,BUILD AND REBUILD,HEKELGEM,3,n.b.,258074,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 491 525 010,,BE0840915665,166930,0840 915 665,Kluisdreef 20 A,1790,,Algemene bouw van residentiële gebouwen,Niet beursgenoteerd
10195,SOUNDTALKS,HEVERLEE,25,n.b.,4980033,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 29 97 29,,BE0840960405,1073286,0840 960 405,Interleuvenlaan 15 b.C,3001,,"Vervaardiging van meet-, controle- en navigatie-instrumenten  en -apparatuur",Niet beursgenoteerd
10196,BRO'CLEAN,ASSE,2,n.b.,79294,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 477 534 376,,BE0840970402,106530,0840 970 402,Pastinakenstraat 67,1730,,Algemene reiniging van gebouwen,Niet beursgenoteerd
10197,PROXY ESSENBEEK H & M,HALLE,10,n.b.,786854,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 356 17 88,,BE0840996829,638456,0840 996 829,Nijvelsesteenweg 538,1500,,Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen (verkoopsoppervlakte < 100 m²),Niet beursgenoteerd
10198,SILVERANS,VILVOORDE,2,n.b.,93757,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 251 63 68,,BE0840999106,87181,0840 999 106,Kluitingstraat 79,1800,,"Elektrotechnische installatiewerken, uitgezonderd aan gebouwen",Niet beursgenoteerd
10199,LENAERTS,ZOUTLEEUW,2,n.b.,431152,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 11 58 75 87,,BE0841005638,88704,0841 005 638,Hof ten Rhode 1,3440,,Loodgieterswerk,Niet beursgenoteerd
10200,DE LA SALLE NOORD-BELGIE,TERNAT,2,n.b.,40119629,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 568 08 80,,BE0841068093,-719451,0841 068 093,Statiestraat 37A,1740,,"Overige verenigingen, n.e.g.",Niet beursgenoteerd
10201,HET BROOD,HOEGAARDEN,61,n.b.,3024904,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 90 25 95,,BE0841102737,2954276,0841 102 737,Bleyveldstraat 1,3320,,Ambachtelijke vervaardiging van brood en van vers banketbakkerswerk,Niet beursgenoteerd
10202,LODILAT,ZAVENTEM,6,n.b.,3613101,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 252 58 30,,BE0841104222,1480683,0841 104 222,Leuvensesteenweg 555 b.15,1930,,"Handelsbemiddeling in textiel, kleding, bont, schoeisel en lederwaren",Niet beursgenoteerd
10203,COMFORT HOME DUPOND & CO,OVERIJSE,8,n.b.,262471,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 2 687 91 56,,BE0841216365,344633,0841 216 365,Terhulpensesteenweg 382,3090,,"Installatie van verwarming, klimaatregeling en ventilatie",Niet beursgenoteerd
10204,DOKTER SARA ULENS,LEUVEN,1,n.b.,910772,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 494 440 937,,BE0841219533,191476,0841 219 533,Wieringstraat 8 b.301,3000,,"Overige menselijke gezondheidszorg, n.e.g.",Niet beursgenoteerd
10205,IMQDATA,MOLLEM,1,n.b.,393588,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 478 457 836,,BE0841254571,161726,0841 254 571,Winhof 20,1730,,Computerconsultancy-activiteiten,Niet beursgenoteerd
10206,"DR. CAROLINE HENS, ANESTHESIST",LANGDORP,1,n.b.,1471361,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 89 49 93,,BE0841258333,431070,0841 258 333,Binneweg 68,3201,,Praktijken van specialisten,Niet beursgenoteerd
10207,CULINAIR HUIS BON APPETIT,HAACHT,24,n.b.,694808,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0841277337,404262,0841 277 337,Stationsstraat 88,3150,,Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen (verkoopsoppervlakte < 100 m²),Niet beursgenoteerd
10208,NV TITRES-SERVICES,GOOIK,14,n.b.,104119,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 54 56 80 92,,BE0841318414,393247,0841 318 414,Lenniksestraat 105,1755,,Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering,Niet beursgenoteerd
10209,INDUSTRIAL INVESTMENT PARTNERS 4,SINT-PIETERS-LEEUW,1,n.b.,5891029,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0841336626,187033,0841 336 626,Jan-Baptist Bosmansstraat 2,1600,,Holdings,Niet beursgenoteerd
10210,BELGIUM CHINA FRIENDSHIP COMPANY,HERENT,1,n.b.,692931,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0841364934,544907,0841 364 934,Rijweg 87,3020,,Handelsbemiddeling in hout en bouwmaterialen,Niet beursgenoteerd
10211,IM INVEST,ASSE,7,n.b.,17081799,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,,,BE0841389084,1142165,0841 389 084,Nerviërsstraat 93,1730,,Overige adviesbureaus op het gebied van bedrijfsbeheer; adviesbureaus  op het gebied van bedrijfsvoering,Niet beursgenoteerd
10212,PITSCHON & VANGOIDSENHOVEN,ATTENRODE,4,n.b.,372387,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 77 00 81,,BE0841449066,244304,0841 449 066,Torenstraat 55,3384,,Vervaardiging van consumptie-ijs,Niet beursgenoteerd
10213,TWEELING EXPRESS,LEUVEN,5,n.b.,461513,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 29 35 24,,BE0841455796,263110,0841 455 796,Weldadigheidsstraat 60,3000,,Detailhandel in niet-gespecialiseerde winkels waarbij voedings- en genotmiddelen overheersen (verkoopsoppervlakte tussen 400 m² en minder dan 2500 m²),Niet beursgenoteerd
10214,VAN GOSSUM,MESSELBROEK,1,n.b.,56337,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 29 22 26,,BE0841542801,63362,0841 542 801,Maasstraat 102,3272,,Loodgieterswerk,Niet beursgenoteerd
10215,INDUSTRIAL PACKAGING MATERIALS,ROTSELAAR,2,n.b.,894093,Your access does not allow you to export OWNERSHIP data. Please contact your local BvD account manager for more information.,+32 16 63 04 49,,BE0841569723,297355,0841 569 723,Wingepark 59,3110,,Groothandel in papier- en kartonwaren,Niet beursgenoteerd
